areaName,Borough,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kensington,Brooklyn,1695.545455,1707.333333,1737.5,1844.416667,2018,2080.166667,2000.416667,2081.666667,2161.833333,2093.25
Kew Gardens,Queens,1458.888889,2111.75,1773.25,1700,1850.916667,1912.5,1922.666667,1903.833333,1931.333333,1874.25
Kew Gardens Hills,Queens,#DIV/0!,1516.4,1743,1941.666667,1807.916667,1954.833333,1936.333333,1940,1924.583333,1927
Kingsbridge,Bronx,#DIV/0!,1844.777778,1369.833333,1439.666667,1512.5,1773.916667,1724.25,1772.583333,1818.833333,1815.583333
Laconia,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Laurelton,Queens,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2075
Little Italy,Manhattan,3676.666667,3135.083333,3522.75,3085.083333,3110.833333,3163.583333,2875.166667,2894.666667,3317.583333,3050.166667
Little Neck,Queens,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2575,#DIV/0!,2498,#DIV/0!
Long Island City,Queens,2833.416667,2886.75,2915.416667,2866,2991.666667,3062.333333,2972.333333,3035.25,3215.083333,3046.25
Longwood,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1646,1762.666667,2036,2024.666667
Lower East Side,Manhattan,2503.333333,2760.75,2855.25,2906.75,3033.583333,3125.666667,3065.666667,3193.083333,3478.416667,3259.083333
Manhattan,Manhattan,3099.166667,3189.166667,3214.916667,3217.583333,3313.333333,3328.833333,3265.416667,3261.916667,3434.75,3153.75
Manhattan Beach,Brooklyn,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,3300,4100,2500,#DIV/0!,#DIV/0!,#DIV/0!
Marble Hill,Manhattan,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1750,#DIV/0!,2211.666667,2172.875,2190.166667,2321.5
Marine Park,Brooklyn,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1700,2011.333333,1942.75,2291.5,2084,2075
Maspeth,Queens,1500,1587.5,1558.333333,1793.181818,2031.25,2031.25,2107.333333,2115.416667,2116.666667,2104.666667
Melrose,Bronx,1218.25,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1906,1771,1906.916667,1941
Middle Village,Queens,#DIV/0!,#DIV/0!,#DIV/0!,1794.2,1988.636364,1946,1978.75,2105.363636,2183.166667,2233.909091
Midtown,Manhattan,4135.416667,4116.333333,3938.75,3901,4043.333333,4006.25,4010.5,3917,4117.416667,3733.75
Midtown East,Manhattan,3100.416667,3115.833333,3195,3224.916667,3360.583333,3370.5,3320.166667,3365.666667,3498.25,3112.083333
Midtown South,Manhattan,3424.416667,3611.5,3514.166667,3583.916667,3799.833333,3945,3891.166667,3797.083333,4021.25,3573
Midtown West,Manhattan,3151.333333,3317.083333,3345.25,3388.166667,3453.583333,3386.916667,3364.916667,3424,3586.083333,3198.5
Midwood,Brooklyn,1437.083333,1379,1402.083333,1508.416667,1654.916667,1805.5,1812.5,1788.666667,1935.083333,1973.666667
Mill Basin,Brooklyn,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2400,#DIV/0!,#DIV/0!
Morningside Heights,Manhattan,2582.916667,2791.416667,2840.25,3260.166667,3234.833333,3237.416667,3087.25,3026.25,3124.5,3094.416667
Morris Heights,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,1268,1414.333333,1607.6,1610.454545,1707.5,1858.090909,1882.6
Morris Park,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,1383.222222,1422.833333,1479.166667,1597.916667,1811.5,1900.636364,1849.181818
Morrisania,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1123,1775,#DIV/0!,1853.833333,1912.5,1831.5
Mott Haven,Bronx,1028.75,#DIV/0!,1720,1649,1824.916667,2019,2012.583333,2162.333333,2282.5,2258
NYC,,2881.666667,2988.75,2987.916667,2880.416667,2859.916667,2898.166667,2763.583333,2732.25,2846.25,2769.583333
New Hyde Park,Queens,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Nolita,Manhattan,3419.666667,3455.833333,3349.583333,3410.25,3543.333333,3742.333333,3671.083333,3623.666667,3735.916667,3374.583333
North Brooklyn,Brooklyn,2823.5,3120.083333,3101.75,3091,3105.25,3072.166667,2985.166667,2936.833333,3275.166667,3125.583333
North Corona,Queens,#DIV/0!,#DIV/0!,#DIV/0!,1662.5,1704,1644,1793,1718.6,1942.222222,2042.6
Northeast Queens,Queens,1593.333333,1700.75,1750.75,1802.75,1863.75,1953.5,1975.916667,1962.75,1956.833333,1954.5
Northwest Brooklyn,Brooklyn,2615.416667,2886.666667,2963.666667,2953.333333,2999.583333,3026.833333,2981.583333,3087.666667,3295.416667,3104.25
Northwest Queens,Queens,2148.75,2631.333333,2366.666667,2354.583333,2376.25,2441.25,2334.833333,2307.5,2427.666667,2378.333333
Norwood,Bronx,#DIV/0!,#DIV/0!,1317.5,1296.875,1405.333333,1436.166667,1532.916667,1624.75,1654.333333,1683.583333
Oakland Gardens,Queens,#DIV/0!,#DIV/0!,#DIV/0!,1900,1950,1930,1818.272727,1987.5,1950,2131.25
Ocean Parkway,Brooklyn,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Old Mill Basin,Brooklyn,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Ozone Park,Queens,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1538.333333,1806.5,#DIV/0!
Park Slope,Brooklyn,2639.916667,2752.75,2696,2770,2866.166667,2849.583333,2787,2874.416667,2999.083333,2947.5
Parkchester,Bronx,1190.75,#DIV/0!,1247.6,1246,1300.5,1575.625,1586,1472.363636,1590.2,1604.166667
Pelham Bay,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1591.166667,1485,1537.4,1768.888889,1732.142857,1667
Pelham Gardens,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1841.5,1775,1875,#DIV/0!,#DIV/0!
Pelham Parkway,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1659.4,#DIV/0!,#DIV/0!,1853.166667,1799,1897.333333
Pomonok,Queens,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1900,2200,#DIV/0!,#DIV/0!,#DIV/0!
Port Morris,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Prospect Heights,Brooklyn,2522.416667,2469.666667,2621.916667,2707.333333,2803.666667,2815.916667,2853,2939.166667,3080.583333,2955.666667
Prospect Lefferts Gardens,Brooklyn,1472.916667,1725.916667,1924,1835,1781.25,2064.333333,2137.25,2289.416667,2343.166667,2285.916667
Prospect Park,Brooklyn,2504.583333,2563.25,2577.416667,2604.166667,2645.833333,2629.25,2604.333333,2612,2726.166667,2658.583333
Prospect Park South,Brooklyn,#DIV/0!,1362.5,1568.75,2184.083333,1983.916667,2083.666667,2035.666667,2087.583333,2186.583333,2117.916667
Queens,Queens,1730.416667,2270.25,2116.666667,2138.333333,2170.25,2263.833333,2216.25,2205.75,2262.416667,2247.083333
Queens Village,Queens,#DIV/0!,#DIV/0!,#DIV/0!,1725,#DIV/0!,1833.333333,1837.5,1798,#DIV/0!,2116.666667
Red Hook,Brooklyn,1917.5,2241.666667,2508.333333,2572.5,2506.25,2855.416667,2712.333333,2677.583333,2726,2604.166667
Rego Park,Queens,1572.333333,1513.75,1646.833333,1794.333333,1968.583333,2216.25,2144.5,2046.166667,2076.75,2013.333333
Richmond Hill,Queens,#DIV/0!,#DIV/0!,1500,#DIV/0!,1535.714286,1525,1675,1792.857143,1766.75,1840
Ridgewood,Queens,1512.5,2457.363636,2214.333333,2160.666667,2306.083333,2449.666667,2464.416667,2494.083333,2512.083333,2429
Riverdale,Bronx,1911.166667,1827.25,1938.5,2046.833333,2141.333333,2142.583333,2087.5,2237.416667,2253.5,2392
Rockaway All,Queens,#DIV/0!,#DIV/0!,1363.333333,1438.583333,1518.333333,1745.833333,1789.166667,2017.75,1975.25,1894.333333
Roosevelt Island,Manhattan,2641.916667,2917.416667,3049.833333,3201.333333,3197.083333,3353,3093.5,3293.083333,3467.166667,3252.583333
Rosedale,Queens,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Schuylerville,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Seagate,Brooklyn,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Sheepshead Bay,Brooklyn,1496.916667,1466.666667,1564.75,1621.5,1671.666667,1809.416667,1881,1864.166667,1869.833333,1991.25
Soho,Manhattan,5301.333333,5080.583333,4488.166667,4297.5,4812.25,4942.166667,5046.75,5339.583333,5502.416667,4440.583333
Soundview,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,1331.5,1401.5,1627.555556,1710.272727,1851.75,1801.25,1890.333333
South Brooklyn,Brooklyn,1480.833333,1555.833333,1634,1727.083333,1845.833333,1969.083333,1983.25,2029.333333,2076.916667,2106.75
South Jamaica,Queens,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
South Ozone Park,Queens,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
South Queens,Queens,1511.5,1448.416667,1539.25,1611.083333,1661.5,1772.166667,1904,1932.583333,1989.5,2027.5
South Richmond Hill,Queens,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Springfield Gardens,Queens,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
St. Albans,Queens,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500,#DIV/0!,#DIV/0!,#DIV/0!,1662.5,#DIV/0!
Staten Island,Staten Island,#DIV/0!,1562.857143,1614.666667,1652.166667,1690.083333,1988.75,1927.583333,1884.583333,2018,1946
Stuyvesant Town/PCV,Manhattan,3768.5,3657.583333,3526.666667,3568,3753.5,4106.75,4261,3894.5,3852.166667,3895.25
Sunnyside,Queens,1533.666667,1625.916667,1685,1834.75,1956.833333,2000,1984,1976.5,2007.833333,1984.916667
Sunset Park,Brooklyn,1427.777778,1702.625,1745.25,1785.416667,1928.083333,2012.75,2025.666667,2041,2068,2014.833333
The Rockaways,Queens,#DIV/0!,#DIV/0!,1363.333333,1438.583333,1518.333333,1745.833333,1789.166667,2017.75,1975.25,1894.333333
Throgs Neck,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2024.875,1666.6,1890.333333,2177.4,2006.2,2300
Tremont,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,1315.75,1468.272727,1547.5,1583.25,1748.916667,1675.636364,1717.545455
Tribeca,Manhattan,6410.5,6954.083333,6341.083333,6029.666667,6512.25,7458.25,7082.416667,6739,6811.416667,6817.583333
University Heights,Bronx,1115.75,1159.666667,1181.916667,1303.5,1323.166667,1461.916667,1582.583333,1682.666667,1741.333333,1698.833333
Upper East Side,Manhattan,2648.75,2752.5,2794.583333,2739.083333,2942.916667,2979.75,2961.666667,2911.666667,3057.333333,2883.25
Upper West Side,Manhattan,3151.5,3247.833333,3226.25,3249.5,3402.5,3427.333333,3328.416667,3329.75,3477.25,3165.583333
Utopia,Queens,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Van Nest,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1322.8,1337.75,#DIV/0!,1793.75,#DIV/0!,#DIV/0!
Wakefield,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,1385.666667,1330.25,1439.166667,1508.333333,1814.285714,1980.333333,2031
Washington Heights,Manhattan,1730.25,1800.583333,1798.416667,1858.25,2011.666667,2169.333333,2169.333333,2187.833333,2213.583333,2180.416667
West Harlem,Manhattan,2488.181818,2144.583333,2059.416667,2216.666667,2319.416667,2536.333333,2558.666667,2601.75,2501.916667,2438
West Village,Manhattan,3378.583333,3472.5,3539.166667,3618.333333,3737.5,3796.25,3660.166667,3801.416667,4021.666667,3649
Westchester Village,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Whitestone,Queens,#DIV/0!,1850,2209.5,1995.833333,2235.714286,2344.222222,2355.625,2160.75,2296.916667,2408.333333
Williamsbridge,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,1275,1387.857143,1625,1966,1873.428571,1831.545455,1881.833333
Williamsburg,Brooklyn,2892.416667,3194.25,3173.666667,3135.666667,3195.833333,3159.5,3054.666667,2965.833333,3321.75,3164.583333
Windsor Terrace,Brooklyn,2184.416667,2182.333333,2345.416667,2387.083333,2647.583333,2517.416667,2515.333333,2541.083333,2672.083333,2657.25
Woodhaven,Queens,#DIV/0!,#DIV/0!,#DIV/0!,1537.5,1716.8,1656.25,1865.727273,1851.333333,1786.833333,1907.2
Woodlawn,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1687.5,#DIV/0!,1650,1700
Woodside,Queens,1380.5,#DIV/0!,1633.333333,1808.333333,1869.833333,1840.25,1919.166667,1899.166667,1945.333333,1926.666667
Woodstock,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,988,#DIV/0!,#DIV/0!,1877,1999.666667,1930.1,1928.75